period,strategy,cost_scenario,proportional_cost,gross_pnl_usdt,net_pnl_usdt,final_gross_value,final_net_value,gross_return,net_return,total_turnover_usdt,total_cost_usdt,average_holding_days,sharpe_net,sortino_net,calmar_net,max_drawdown_net
full_sample,mean_reversion,low,0.00057353,-7698.12663058,-10000.0,2301.87336942,0.0,-0.76981266,-1.0,4014760.55908443,2302.57140449,2.08333333,-0.6369671,-0.24773065,,-1.0
full_sample,mean_reversion,baseline,0.00114705,-5615.4461206,-10000.0,4384.5538794,0.0,-0.56154461,-1.0,3822642.20759109,4384.77289356,2.08333333,-0.67958955,-0.26417303,,-1.0
full_sample,mean_reversion,high,0.00172058,-4057.66744734,-10000.0,5942.33255266,0.0,-0.40576674,-1.0,3453720.18356515,5942.39971482,2.08333333,-0.72500998,-0.28072936,,-1.0
full_sample,trend_following,low,0.00057353,48975.78147857,34217.93134439,58975.78147857,44217.93134439,4.89757815,3.42179313,25731768.6392053,14757.85013418,6.21489971,0.37379338,0.49971393,1.51781418,-0.72516715
full_sample,trend_following,baseline,0.00114705,48365.30661059,18898.83677425,58365.30661059,28898.83677425,4.83653066,1.88988368,25688849.5800144,29466.46983634,6.21489971,0.20657987,0.27654759,0.85103088,-0.82104222
full_sample,trend_following,high,0.00172058,16537.72523372,-9999.75804231,26537.72523372,0.24195769,1.65377252,-0.9999758,15423573.97852459,26537.48327603,6.21489971,-0.13701373,-0.16224214,-0.99504873,-0.99999644
